request,response,url,header
Does SoCalGas currently have a long-term pipeline replacement program? Please provide a copy.,"SoCalGas objects to this question on the grounds that the phrase “long-term pipeline replacement program” is vague and ambiguous. Subject to and without waiving the foregoing objection, SoCalGas responds as follows: Based on other questions in this data request set, SoCalGas interprets this request as seeking information related to Phase 1B of SoCalGas’ Pipeline Safety and Enhancement Plan (PSEP) and SoCalGas’ early vintage pipeline replacement program within its Distribution Integrity Management Program (DIMP). SoCalGas’ PSEP Amended Application and supporting testimony describing Phase 1B are attached. Available upon request are workpapers submitted in support of the Amended Application and Testimony. The workpapers include a list of pipelines and estimated costs associated with Phase 1B replacement work. Please note the current list of Phase 1B pipelines scheduled for replacement differs from that submitted in the 2011 PSEP Application as scope validation efforts have resulted in reduction of PSEP scope. This reduction will be accomplished through a reduction in the Maximum Allowable Operating Pressure of certain pipelines or through abandonment of pipelines that are no longer required from an overall gas operating system perspective. Additionally, SoCalGas has a long-term replacement program for its early vintage steel and plastic (Aldyl-A) main and service pipelines, within its DIMP as discussed in Exhibit SCG-14. The proposed programs are wholesale replacement over the next 25-30 years, which utilize a relative risk model and dynamic segmentation to prioritize the replacement of poor performing segments. The proposed replacement program expands upon an existing early-vintage pipeline replacement program currently being implemented as part of DIMP. The early vintage plastic replacement program focuses on the replacement of Aldyl-A which exhibits brittle-like cracking characteristics. The brittle-like cracking characteristic could cause a leak on an early vintage plastic pipeline to grow and release additional natural gas than would normally be released, increasing the risk of natural gas gathering and igniting. Please see Ex. SCG-14, page 25 for additional details. The early vintage steel replacement program focuses on poor performing bare steel. The lack of protective coating makes steel a high-risk family of pipe and has been identified by DOT and PHMSA as a family of pipe that should be evaluated for an accelerated replacement program. Please see Ex. SCG-14, page 26 for additional details.",https://www.socalgas.com/regulatory/documents/a-17-10-008/OSA-SEU-005_Q1-6.pdf,OSA-SEU-005
"Around October 2017, SoCalGas experienced several pipeline outages near Newberry Springs. Please provide a copy of any preliminary root cause analyses (RCA) for the incidents.","SoCalGas experienced two pipelines outages near Newberry Springs in the Fall of 2017. One was a result of pipeline failure and the second due to the execution of remediation work on the other pipeline in the area due to external corrosion. SoCalGas is working with SED on the root cause analysis, a confidential version of which will be produced to SED in the future. Although the root cause, impact of the failure, and path forward are not within the scope of SoCalGas’ GRC Application, and the analysis will likely continue to be reviewed after the proceeding has concluded, SoCalGas proposes to take this opportunity to set up meetings with OSA, outside of the GRC, to discuss and provide updates on findings and next steps. Please see also the response to Question 4 regarding how SoCalGas incorporates information learned from the outages as part of the Transmission Integrity Management Program (TIMP) continual assessment process.",https://www.socalgas.com/regulatory/documents/a-17-10-008/OSA-SEU-005_Q1-6.pdf,OSA-SEU-005
Please discuss the impacts from pipeline outages on SoCalGas’ operations with regards to reliability and safety.,"Please see the discussions in the attached assessments “SoCalGas Winter 2017-18 Technical Assessment” and “SoCalGas Summer 2018 Technical Assessment.pdf,” which SoCalGas developed for the 2017-2018 winter and 2018 summer operating seasons.",https://www.socalgas.com/regulatory/documents/a-17-10-008/OSA-SEU-005_Q1-6.pdf,OSA-SEU-005
"On Page 29 of Exhibit SCG-14, Ms. Martinez stated the followings: Through the TIMP, SoCalGas continually evaluates the pipeline system and proactively takes action through inspections, replacements, and other remediation activities to improve the safety and reliability of the system. Please explain how SoCalGas has incorporated or will incorporate the information obtained from similar outages to “improve the safety and reliability of the system.","For purposes of this question, SoCalGas interprets the phrase “similar outages” to refer to the two pipeline outages referenced in Question 2 and OSA’s request for an explanation to refer to the incorporation of information into the Transmission Integrity Management Program (TIMP). The purpose of the TIMP is to continually identify threats on transmission pipelines, determine the risk posed by these threats, schedule assessments to address threats, collect information about the condition of the pipeline, and take actions to minimize applicable threats and integrity concerns to reduce the risk of a pipeline failure. When an area requires remediation, immediate attention based on assessment results, or a safety issue has been identified, prompt action is taken for the safety of the public and personnel working on the pipeline, which may include pressure reduction or removing pipelines from service until a repair can be completed. As noted in the response to Question 2, work on the root cause analysis of these outages, in coordination with the CPUC’s Safety and Enforcement Division (SED), is ongoing and is beyond the scope of the General Rate Case (GRC). The information obtained from the outages is incorporated into the TIMP continual assessment process described above, and the threats identified as part of these outages will be evaluated in order to determine assessment and remediation requirements to reduce the risk of a pipeline failure. Please see Exhibit SCG-14 on pages MTM-2 through MTM-3, and MTM-11 through MTM-13 for more details on the TIMP continual assessment and remediation process. It should also be noted that D.16-08-018 directs the utilities to “[r]espond to immediate or short-term crises outside of the RAMP and GRC process” because they “follow a three-year cycle and are not designed to address immediate needs.” (D.16-08-018 at 146). SoCalGas and SDG&E do not wait to respond to incidents and address safety issues in a timely manner, regardless of the timing of the GRC funding cycle.",https://www.socalgas.com/regulatory/documents/a-17-10-008/OSA-SEU-005_Q1-6.pdf,OSA-SEU-005
"In an effort to gain a better understanding of SoCalGas’ pipeline replacement program, which was discussed in Exhibit SCG-15, please explain how these would fit into the replacement programs if the outages did not occur.","SoCalGas proposed to pressure test the portion of pipeline where the outage occurred as part of Phase 2A of the PSEP, currently pending Commission approval.",https://www.socalgas.com/regulatory/documents/a-17-10-008/OSA-SEU-005_Q1-6.pdf,OSA-SEU-005
"Please identify the programs and projects proposed in this GRC application that would prevent the failure of infrastructures, which may have an impact on reliability and safety such as the October 2017 incident.","Projects and programs that are referred to in this GRC as Risk Assessment Mitigation Phase (RAMP) mitigation activities are proposed to reduce SoCalGas and SDG&E’s key safety risks identified through the RAMP process. Please see the tables in Appendix A.1 in the Risk Management and Policy testimony of Diana Day Exhibit SCG-02-R/SDG&E-02-R, Chapter 1) for the GRC exhibits that address applicable RAMP risks associated with reducing the risk of a potential failure of infrastructure. For example, the Transmission Integrity Management Program (TIMP) is an existing program with proposed costs in this GRC that would address the RAMP risk of Catastrophic Damage Involving High-Pressure Gas Pipeline Incident. Please also refer to the response in Question 4 above.",https://www.socalgas.com/regulatory/documents/a-17-10-008/OSA-SEU-005_Q1-6.pdf,OSA-SEU-005
"SCG-43, page KN-ii, states that ""Southern California Gas Company (SoCalGas) proposes $2,989,477,000 for its Test Year (TY) 2019 revenue requirement. a. Please provide a table showing SoCalGas's proposed total revenue requirements for 2020 and 2021, approved revenue requirements for each year from 2014 through 2018, and actual total expenditures for 2014 through 2017.","Please see the attached file for the 2014-2018 authorized revenue requirements and the 2019- 2022 proposed revenue requirements. The proposed 2019 test year and 2020-2022 attrition year revenue requirement data is from the Second Revised Testimony (Tax Reform) served on April 6, 2018. SoCalGas and SDG&E interpret the request for “actual total expenditures” to be a request for 2014-2017 GRC recorded O&M, depreciation, taxes, and return. SoCalGas and SDG&E object to this request on the grounds that it is overly broad, unduly burdensome, and outside the scope of testimony, thus exceeding the scope of permissible discovery under Rule 10.1 of the Commission’s Rules of Practice and Procedure. Subject to and without waiving the foregoing objections, SoCalGas and SDG&E respond as follows: The requested information does not exist and would be unduly burdensome to create. The several weeks-long process to create the actual total expenditures format is unduly burdensome. SoCalGas and SDG&E have no reason to produce this format for other purposes during their normal course of business, and therefore the format does not exist for those years.",https://www.socalgas.com/regulatory/documents/a-17-10-008/CFC-SEU-007_Final.pdf,CFC-SEU-007
"SDG&E-01, page CAW-7, describes SDG&E's TY2019 revenue requirement: ""SDG&E’s GRC Application requests that the Commission authorize a combined $2.199 billion revenue requirement ($433 million gas and $1.766 billion electric), to be effective January 1, 2019. If approved, this revenue requirement would be an increase of $218 million over the asexpected authorized 2018 revenue requirement."" a. Please provide a table showing SDG&E's proposed total revenue requirements for 2020 and 2021, approved revenue requirements for each year from 2014 through 2018, and actual total expenditures for 2014 through 2017.","Please see the attached file for the 2014-2018 authorized revenue requirements and the 2019- 2022 proposed revenue requirements. The proposed 2019 test year and 2020-2022 attrition year revenue requirement data is from the Second Revised Testimony (Tax Reform) served on April 6, 2018. SoCalGas and SDG&E interpret the request for “actual total expenditures” to be a request for 2014-2017 GRC recorded O&M, depreciation, taxes, and return. SoCalGas and SDG&E object to this request on the grounds that it is overly broad, unduly burdensome, and outside the scope of testimony, thus exceeding the scope of permissible discovery under Rule 10.1 of the Commission’s Rules of Practice and Procedure. Subject to and without waiving the foregoing objections, SoCalGas and SDG&E respond as follows: The requested information does not exist and would be unduly burdensome to create. The several weeks-long process to create the actual total expenditures format is unduly burdensome. SoCalGas and SDG&E have no reason to produce this format for other purposes during their normal course of business, and therefore the format does not exist for those years.",https://www.socalgas.com/regulatory/documents/a-17-10-008/CFC-SEU-007_Final.pdf,CFC-SEU-007
"Please provide redlined copies of each page of the originally filed testimony showing the changes made in the December 20, 2017 revisions","The requested redlined documents do not exist. SDG&E served revised testimony correcting known errors on December 20, 2018. Each revised testimony chapter identified corrected errors in a revision log at the end of each revised volume. Revised testimony chapters are publicly available for review by any party",https://www.socalgas.com/regulatory/documents/a-17-10-008/CUE-SEU-DR-04_Q_241_Final.pdf,CUE-SEU-004
"Please confirm that Ex. SDG&E-45 should have been titled Ex. SCG-46, and vice versa.","This seems to be an inadvertent printing error. It appears that the hard copies provided to CUE for the Gas Rates testimony exhibits (Exhibits SCG-46 and SDG&E-45) have incorrect cover pages. The cover page on the SDG&E exhibit has the SoCalGas cover page and vice versa. The remaining content of the testimony is correct. Page ISC-1 of each exhibit has the correct utility listed at the top, e.g., SOCALGAS DIRECT TESTIMONY OF IFTEKHARUL (SHARIM) CHAUDHURY. The electronic versions of Exhibits SCG-46 and SDG&E-45 provided on our websites have the correct cover pages. These electronic versions are available on the websites below: https://www.socalgas.com/regulatory/A17-10-008.shtml https://www.sdge.com/regulatory-filing/22261/sdge-2019-general-rate-case Additionally, it should be noted that Exhibits SCG-46 and SDG&E-45 were revised on December 20, 2017. The December 20, 2017 exhibits (SCG-46-R and SDG&E-45-R) supersede the original exhibits submitted on October 6, 2017. The revised exhibits are also available on the websites provided above. Upon request, SoCalGas and SDG&E will send corrected hard copies of these exhibits to CUE if desired.",https://www.socalgas.com/regulatory/documents/a-17-10-008/CUE%20DR-01.pdf,CUE-SEU-001
"Provide 2017 insurance premiums paid as of December 28, 2017",See Chart in attachment “ORA-SDGESCG_ORAL-DR-022-LL Insurance Question 1.xlsx”,https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
"Provide 2018 renewal premiums. If they are not available, when will they be?",2018 insurance program renewals occur at different times throughout the year. Each renewal is negotiated separately. Insurance premiums are available upon renewal date.,https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
"Page NKC-11 line 17-18 says “coverage to Sempra companies outside of California, for statutory benefits payable under the workers’ compensation statutes of the various states.” What other business units are included other than SDG&E and SCG?",This policy also provides coverage for Sempra Energy’s non-regulated business units (those that are not subject to regulation by the California Public Utilities Commission).,https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
"Page NKC-3, Table NKC-2 is a property insurance summary, provide a breakdown of the increases shown for each line of coverage",Please see the specific workpaper sections found in Exhibit No.:SCG-29/SDG&E-27-WP as described below: A-1 Primary Property Page 6 A-2 Excess Property Page 10 A-3.1 Control of Well Page 16 A-3.2 Crime Page 18 A-3.3 Yuma 500 KV Page 20 A-3.4 Cargo Page 22 A-3.5 Foreign Package Page 24 A-3.6 SONGS Nuclear Page 26 A-3.7 SONGS Mesa Page 28 A-3.8 Broker Fees Page 30,https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
"Page NKC-6 line 10/11 references forecasts provided by Marsh and OIL, provide Marsh and OIL forecasts.","Please see Appendix B of the testimony (Ex. SCG-29/SDG&E-27) for the March 6, 2017 letter of Marsh USA titled Premium Estimates forecast, and Appendix C of the testimony for the September 12, 2017 premium indication email from OIL.",https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
Page NKC-6 line 20-22 says “this arrangement results in lower costs…”. Provide support for lower cost,"Please see Appendix D of the testimony (Ex. SCG-29/SDG&E-27) for the June 6, 2017 email from Marsh outlining the costs to purchase equivalent earthquake coverage from commercial insurance markets.",https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
"Page NKC-8 table NKC-6, what was paid in 2017? Provide premiums paid for 2018 and if they are not available, state when they will be.",Please see question 1 for premiums paid in 2017. Please see question 2 for 2018 premium availability.,https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
"Page NKC-8 Table NKC-6, why is line B-2 Fire go up $14.6 million? If numbers are in workpapers, please break them out.","Please refer testimony (Ex. SCG-29/SDG&E-27) page NKC-14 lines 14 – 25 and workpaper (Ex. SCG-29/SDG&E-27-WP) sections B-2.1 (excess fire) and B-2.2 (Wildfire Damage Reinsurance) for wildfire insurance costs broken out by year. Wildfire insurance forecast was based on anticipated insurance market conditions as of the October 6, 2017 GRC filing date. While not known at the time of our filing, the wildfires in PG&E’s service territory - which began on October 8, 2017 – will likely impact insurance pricing going forward. Marsh (Sempra’s insurance broker) provided an update on the California wildfire insurance market on November 1, 2017.1 In its November 1, 2017 update, Marsh suggests that wildfire insurance pricing could possibly increase 30% to 100% or more. Marsh also indicated that another significant wildfire involving a California Investor Owned Utility could further negatively impact pricing. The December wildfires in SCE’s service territory occurred after Marsh’s November 1, 2017 update; as such, we anticipate additional wildfire insurance availability challenges, which could result in increased wildfire insurance costs above Marsh’s November 1, 2017 guidance. The fact that the overall wildfire insurance market is seeing price increases is further reflected in a December 29, 2017 letter of notification SCE submitted to the Commission seeking to establishing a Z-Factor for costs associated with wildfire liability insurance costs. According to SCE, insurance prices have increased dramatically from what they had originally forecasted for 2018. Based on Marsh forecast and information outlined in the SCE letter, we are anticipating that wildfire insurance costs will be significantly higher than our forecasted amount outlined in our October 6, 2017 GRC filing.",https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
"Page NKC-9 Table 8, why does SDG&E have such a high allocation percentage versus SCG?",Allocation for page NKC-9 Table 8 is based on the number of miles of overhead electrical wires that are owned by each company.,https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
"Workpaper page 52, break out the summary box into components. Define the “Payroll” piece and how much that contributes.","Sempra follows California state rules in developing workers’ compensation payroll. Part 3, Section V of the California Bureau Workers Compensation Underwriting Manual, discusses payroll development in detail. Insurance carriers use a confidential calculation based on payroll to come up with the premium. How much payroll contributes to final premium calculation is confidential to each insurance carrier. We use broker forecast to help forecast our go forward workers’ compensation premiums.",https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
Provide proof the wildfire premiums are increasing.,"Sempra’s wildfire insurance premium are impacted by worldwide losses sustained by wildfire insurance carriers. As outlined in testimony (Ex. SCG-29-SDG&E-29) on page NKC – 14 lines 15 – 25 and page NKC – 15 lines 1- 2, Sempra’s wildfire insurance premiums were negatively impacted in 2016 by the Butte wildfire as Sempra did not have a wildfire insurance loss during that insurance policy period. As outlined in question 8, we are anticipating a significant increase in wildfire insurance costs above the forecasted costs provided as of our October 6, 2017 filing. Premiums will be known by the June 26, 2018 renewal date. The forecasts provided in testimony are built off of these assumptions. 2018 premiums will not be known until the June 26, 2018 renewal date. SCG and SDG&E believe the forecast in testimony represents the best projection for these costs at that time. My testimony supports the implementation of a balancing account to capture the actual costs of liability premiums for this reason.",https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
Page NKC-16 asks for a new balancing account. How were you paying for liability premiums previously? Why a two-way balancing account versus a one-way?,"Forecasts for insurance premiums are included in General Rate Case filings. The approved forecasted expenses are incorporated into a revenue requirement that is ultimately adopted in the GRC proceeding. That revenue is collected from ratepayers (with attrition in the post-test years) over the GRC cycle. SDG&E and SCG then pay for and expense actual liability insurance premiums as incurred during the GRC cycle and book them into FERC account 925. A two-way balancing account is proposed in this application “due to the uncertainty around the need for and the price of additional insurance and because of market fluctuations in the cost of liability insurance” (Ex. SCG-29/SDG&E-27, Page NKC-17 lines 1-3). As outlined in the testimony and further explained above in questions 8 & 11 of this data request, worldwide insurance losses directly impact Sempra’s insurance costs. Because of this, forecasting our insurance costs on a 3-year forward-looking basis is challenging. Accurately forecasting insurance losses and the resulting impacts to Sempra’s liability insurance costs is difficult. The cost volatility resulting from insurance market changes has the potential to be significant and have a major impact on the Utility’s overall costs. Since actual insurance premiums are influenced by insurance market cycles, a two-way balancing account is appropriate and fair to both ratepayers and the company. A one-way balancing account could impose an unreasonable cost responsibility on the company by impeding the recovery of costs that could be significantly greater than the forecast. Although the company has made every effort to forecast insurance premiums, based on information available at that time, it is reasonable to understand that insurance premiums cannot be accurately forecasted; particularly in California. A two-way balancing account would give the company the ability to continue to prudently procure insurance at levels commensurate to the underlying risk without being exposed to insurance market volatility that is beyond the company’s control. In both the two-way and one-way balancing account mechanisms, savings are returned to ratepayers on an annual basis, but given the potential volatility and magnitude of liability insurance costs, a two-way balancing account is fairer to both the company and ratepayers as insurance costs are influenced by insurance markets cycles that are beyond Sempra’s control. Ratepayers would pay for insurance premiums based on actual expenses and not on a forecast, which would be different (as explained above). To not allow a two-way balancing account mechanism would hold SDG&E and SCG financially accountable to insurance market volatility, which has the potential to be significant based on our latest insurance broker guidance (see question 8 response).",https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
. Provide list of policy renewal dates.,Insurance Policy Renewal Date Primary Property 2/20/2018 Excess Property - OIL 1/1/2018 Control of Well 3/1/2018 Crime 10/1/2018 Property Insurance – Yuma 500 kv Reimbursement to Arizona Public Service Property Insurance – Cargo 2/20/2018 Property Insurance – Foreign Package 6/26/2018 Property Insurance – SONGS Nuclear Reimbursement to Edison Property Insurance – SONGS Mesa NonNuclear Not included as part of 2019 GRC request Excess Liability (Non-Wildfire Liability) 6/26/2018 Wildfire Liability 6/26/2018 Wildfire Property Damage Reinsurance 6/26/2018 Directors and Officers 10/11/2018 Fiduciary Liability 10/11/2018 Excess Workers Compensation 6/26/2018 Global Workers Compensation 6/26/2018 Cyber 10/1/2018 Automobile 6/26/2018 Yuma 500 Kv Liability Reimbursement to Arizona Public Service P&I Charter 2/20/2018 Pollution 7/24/2018 Terminal Operators 2/20/2018 SONGS Nuclear Liability Not included as part of 2019 GRC request SONGS Mesa Non-Nuclear Liability Not included as part of 2019 GRC request Railroad Protective Liability Policy Various throughout the year Surety Bonds Various throughout the year,https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
"Workpaper page 38, provide additional information regarding the summary box.","Please see pages NKC – 14 and 15 for additional information regarding our liability insurance forecasting approach. Additionally, please refer to appendix B of the testimony (Ex. SCG29/SDG&E-27) for the March 6, 2017 letter by Marsh USA titled Premium Estimates forecast. Workpaper (Ex. SCG-29/SDG&E-27-WP) page 37 shows the Escalated Forecast from the Base Year of 2016.",https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-SDGESCG-ORAL-DR-002-LL%20Final.pdf,ORA-SEU-ORAL-002-LL
